dates,buyIn,saleOut,netBuyIn,balance,SH,SHOverRate
2015-02-02,24.1153,22.3307,1.7846000000000002,106.63879999999999,3128.3,-2.56
2015-01-30,17.5168,17.2209,0.2959,111.84,3210.36,-1.59
2015-01-29,32.7513,22.9967,9.7546,101.14,3262.31,-1.31
2015-01-28,23.0297,11.6105,11.4192,111.68,3305.74,-1.41
2015-01-27,27.0214,17.9879,9.0335,118.63,3352.96,-0.89
2015-01-26,17.520599999999998,13.5572,3.9633999999999996,124.13,3383.18,0.94
2015-01-23,27.2363,24.621100000000002,2.6151999999999997,125.76,3351.76,0.25
2015-01-22,27.8655,26.3512,1.5143,127.5,3343.34,0.59
2015-01-21,45.802600000000005,26.546,19.256600000000002,108.65,3323.61,4.74
2015-01-20,49.3584,27.906100000000002,21.4523,105.76,3173.05,1.82
2015-01-19,26.191300000000002,29.6219,-3.4306,133.27,3116.35,-7.7
2015-01-16,24.7815,23.5139,1.2676,125.78,3376.5,1.2
2015-01-15,27.9148,20.8625,7.0523,119.92,3336.46,3.54
2015-01-14,21.8187,15.8803,5.938400000000001,122.79,3222.44,-0.4
2015-01-13,15.7269,18.233800000000002,-2.5069,131.16,3235.3,0.19
2015-01-12,21.6452,34.3799,-12.7347,141.33,3229.32,-1.71
2015-01-09,34.700700000000005,20.1689,14.5318,113.83,3285.41,-0.24
2015-01-08,22.3142,21.7359,0.5783,119.22,3293.46,-2.39
2015-01-07,20.434,17.013199999999998,3.4208,112.47,3373.95,0.67
2015-01-06,32.4049,32.6364,-0.23149999999999998,109.09,3351.45,0.03
2015-01-05,40.006,19.9833,20.0227,83.11,3350.52,3.58
2014-12-31,21.331999999999997,21.540399999999998,-0.2084,106.88,3234.68,2.18
2014-12-30,14.2477,21.2092,-6.9615,136.3,3165.82,-0.07
2014-12-29,34.5154,27.8242,6.6912,122.5,3168.02,0.33
2014-12-23,30.025199999999998,24.1584,5.8668,123.47,3032.61,-3.03
2014-12-22,39.536100000000005,26.297800000000002,13.238299999999999,115.72,3127.45,0.61
2014-12-19,29.3961,20.773899999999998,8.6222,119.29,3108.6,1.67
2014-12-18,34.4856,16.1868,18.2988,110.92,3057.52,-0.11
2014-12-17,35.7324,30.8416,4.8908,123.52,3061.02,1.31
2014-12-16,27.7236,15.4652,12.2584,116.82,3021.52,2.31
2014-12-15,22.238200000000003,12.876700000000001,9.3615,119.32,2953.42,0.52
2014-12-12,33.965,17.040499999999998,16.924500000000002,111.38,2938.17,0.42
2014-12-11,26.5117,17.364,9.1477,119.26,2925.74,-0.49
2014-12-10,43.867399999999996,25.5031,18.3643,110.59,2940.01,2.93
2014-12-09,56.3163,46.0744,10.241900000000001,118.41,2856.27,-5.43
2014-12-08,48.168800000000005,34.0089,14.1599,113.23,3020.26,2.81
2014-12-05,59.8429,35.3472,24.495700000000003,104.33,2937.65,1.32
2014-12-04,46.2754,12.685599999999999,33.5898,94.79,2899.46,4.31
2014-12-03,60.4958,23.6468,36.849000000000004,91.39,2779.53,0.58
2014-12-02,42.1425,10.9892,31.153299999999998,96.89,2763.55,3.11
2014-12-01,37.8762,24.698,13.178199999999999,116.02,2680.16,-0.1
2014-11-28,30.1424,7.6802,22.4622,106.55,2682.84,1.99
2014-11-27,33.3504,4.6638,28.6866,100.1,2630.49,1.0
2014-11-26,35.1521,3.2260000000000004,31.9261,97.05,2604.35,1.43
2014-11-25,31.3221,3.8218,27.500300000000003,101.47,2567.6,1.37
2014-11-24,61.3922,2.8275,58.5647,60.44,2532.88,1.85
2014-11-21,24.305500000000002,2.3102,21.9953,106.59,2486.79,1.39
